type,time,milli_volts,milli_amps
sha3-256,idle,5048,624
sha3-256,idle,5048,632
sha3-256,idle,5048,632
sha3-256,idle,5048,632
sha3-256,idle,5048,632
sha3-256,idle,5048,632
sha3-256,idle,5048,632
sha3-256,idle,5048,632
sha3-256,idle,5048,632
sha3-256,idle,5048,632
sha3-256,idle,5048,632
sha3-256,idle,5048,632
sha3-256,idle,5048,632
sha3-256,idle,5048,632
sha3-256,idle,5048,632
sha3-256,idle,5048,632
sha3-256,idle,5048,632
sha3-256,idle,5048,632
sha3-256,idle,5048,632
sha3-256,idle,5048,632
sha3-256,idle,5048,632
sha3-256,idle,5048,632
sha3-256,idle,5048,632
sha3-256,idle,5048,632
sha3-256,idle,5048,632
sha3-256,idle,5048,632
sha3-256,idle,5048,632
sha3-256,idle,5048,632
sha3-256,idle,5048,632
sha3-256,idle,5048,632
sha3-256,idle,5048,632
sha3-256,idle,5048,632
sha3-256,idle,5048,632
sha3-256,idle,5048,632
sha3-256,idle,5048,632
sha3-256,idle,5048,632
sha3-256,idle,5048,632
sha3-256,idle,5048,632
sha3-256,idle,5048,632
sha3-256,idle,5048,632
sha3-256,idle,5048,632
sha3-256,idle,5048,632
sha3-256,idle,5048,632
sha3-256,idle,5048,632
sha3-256,idle,5048,632
sha3-256,idle,5048,632
sha3-256,idle,5048,632
sha3-256,idle,5048,640
sha3-256,idle,5048,632
sha3-256,idle,5048,632
sha3-256,idle,5048,632
sha3-256,idle,5048,632
sha3-256,idle,5048,632
sha3-256,idle,5048,632
sha3-256,idle,5048,632
sha3-256,idle,5048,632
sha3-256,idle,5048,632
sha3-256,idle,5048,632
sha3-256,idle,5048,640
sha3-256,idle,5048,632
sha3-256,idle,5048,632
sha3-256,idle,5048,632
sha3-256,idle,5048,632
sha3-256,idle,5048,632
sha3-256,idle,5048,632
sha3-256,idle,5048,632
sha3-256,idle,5048,632
sha3-256,idle,5048,632
sha3-256,idle,5048,632
sha3-256,idle,5048,632
sha3-256,idle,5048,632
sha3-256,idle,5048,632
sha3-256,idle,5048,632
sha3-256,idle,5048,632
sha3-256,idle,5048,632
sha3-256,idle,5048,632
sha3-256,idle,5048,632
sha3-256,idle,5048,632
sha3-256,idle,5048,632
sha3-256,idle,5048,632
sha3-256,idle,5048,632
sha3-256,idle,5048,632
sha3-256,idle,5048,632
sha3-256,idle,5048,632
sha3-256,idle,5048,632
sha3-256,idle,5048,632
sha3-256,idle,5048,632
sha3-256,idle,5048,632
sha3-256,idle,5048,632
sha3-256,idle,5048,632
sha3-256,idle,5048,632
sha3-256,idle,5048,632
sha3-256,idle,5048,632
sha3-256,idle,5048,632
sha3-256,idle,5048,632
sha3-256,idle,5048,632
sha3-256,idle,5048,632
sha3-256,idle,5048,632
sha3-256,idle,5048,632
sha3-256,idle,5048,632
sha3-256,idle,5048,632
sha3-256,idle,5048,632
sha3-256,idle,5048,632
sha3-256,idle,5048,632
sha3-256,idle,5048,632
sha3-256,idle,5048,632
sha3-256,idle,5048,632
sha3-256,idle,5048,632
sha3-256,idle,5048,632
sha3-256,idle,5048,632
sha3-256,idle,5048,632
sha3-256,idle,5048,632
sha3-256,idle,5048,632
sha3-256,idle,5048,632
sha3-256,idle,5048,632
sha3-256,idle,5048,632
sha3-256,idle,5048,632
sha3-256,idle,5048,632
sha3-256,idle,5048,632
sha3-256,idle,5048,632
sha3-256,idle,5048,632
sha3-256,idle,5048,632
sha3-256,idle,5048,632
sha3-256,idle,5048,632
sha3-256,idle,5048,632
sha3-256,idle,5048,632
sha3-256,idle,5048,632
sha3-256,idle,5048,632
sha3-256,idle,5048,632
sha3-256,idle,5048,632
sha3-256,idle,5048,632
sha3-256,idle,5048,632
sha3-256,idle,5048,632
sha3-256,idle,5048,632
sha3-256,idle,5048,632
sha3-256,idle,5048,632
sha3-256,idle,5048,632
sha3-256,idle,5048,632
sha3-256,idle,5048,632
sha3-256,idle,5048,632
sha3-256,idle,5048,632
sha3-256,idle,5048,632
sha3-256,idle,5048,632
sha3-256,idle,5048,632
sha3-256,idle,5048,632
sha3-256,idle,5048,632
sha3-256,idle,5048,632
sha3-256,idle,5048,632
sha3-256,idle,5048,632
sha3-256,idle,5048,632
